Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Targeted layer	Cre	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
739	20190409_sample_10	20190409_slice_10	2019-04-09	Sample 10	mouse_UKEDC	2019-02-07	61	6	SST-	5836	CT	L6 CT Cpa6	0.75	L6 CT Cpa6 (74.9%), L6 CT Grp (15.3%), L6b Col6a1 (6.1%)	L6 CT VISp Ctxn3 Sla (59.0%), L6 CT VISp Nxph2 Wls (18.0%), L6 CT ALM Cpa6 (16.0%)	1680	190.08	Fede	10	1230.2	455.4	561.1	1548.636		
740	20190409_sample_11	20190409_slice_11	2019-04-09	Sample 11	mouse_UKEDC	2019-02-07	61	6	SST-	6672	IT	L6 IT_2	0.77	L6 IT_2 (77.1%), L5 IT_4 (20.4%)	L6 IT VISp Penk Col27a1 (80.0%), L6 IT VISp Penk Fst (13.0%), L6 IT ALM Oprk1 (7.0%)	1630	290.53	Fede	15	1176.8	432.3	527.1	1454.796	y	
741	20190410_sample_3	20190410_slice_3	2019-04-10	Sample 3	mouse_STYRO	2019-02-07	62	6	SST-	7489	CT	L6 CT Pou3f2	0.95	L6 CT Pou3f2 (94.9%), L6 CT Grp (3.6%)	L6 CT ALM Nxph2 Sla (98.0%)	1723	326.64	Fede	50	1090.2	400.3	575.3	1587.828	y	
742	20190410_sample_4	20190410_slice_4	2019-04-10	Sample 4	mouse_STYRO	2019-02-07	62	5	SST+	6406	Sst	Sst Myh8_3	0.7	Sst Myh8_3 (70.0%), Sst Crhr2_2 (13.3%), Sst Myh8_1 (6.1%)	Sst Tac2 Myh4 (76.0%), Sst Tac2 Tacstd2 (20.0%)	1530	202.85	Fede	40	725	278	534.1	1474.116		
743	20190410_sample_6	20190410_slice_6	2019-04-10	Sample 6	mouse_STYRO	2019-02-07	62	2/3	SST-	4495	IT	L2/3 IT_3	0.52	L2/3 IT_3 (51.9%), L2/3 IT_2 (18.0%), L4/5 IT_1 (13.3%)	L2/3 IT VISp Agmat (75.0%), L4 IT VISp Rspo1 (13.0%), L2/3 IT VISp Rrad (6.0%)	1610	81.56	Fede	9	226.4	80.2	466.7	1288.092		
744	20190410_sample_7	20190410_slice_7	2019-04-10	Sample 7	mouse_STYRO	2019-02-07	62	6	SST-	6467	CT	L6b Col6a1	0.75	L6b Col6a1 (75.4%), L6 CT Cpa6 (23.3%)	L6 CT VISp Krt80 Sla (62.0%), L6 CT ALM Cpa6 (38.0%)	1817	192.65	Fede	15	1261.4	451.3	569.8	1572.648	y	
745	20190410_sample_10	20190410_slice_10	2019-04-10	Sample 10	mouse_STYRO	2019-02-07	62	6	SST-	3162	CT	L6 CT Pou3f2	0.62	L6 CT Pou3f2 (61.9%), L6b Col6a1 (17.3%), L6 CT Grp (8.1%)	L6 CT VISp Nxph2 Wls (61.0%), L6 CT VISp Krt80 Sla (23.0%), L6 CT VISp Ctxn3 Sla (5.0%)	1567	73.31	Fede	25	1117	409.6	477.9	1319.004	y	
746	20190411_sample_1	20190411_slice_1	2019-04-11	Sample 1	mouse_IQNOA	2019-01-31	70	6	PV-	2303	CT	L6 CT Cpa6	0.44	L6 CT Cpa6 (44.3%), L6b Col6a1 (32.1%), L6b Kcnip1 (5.0%)	L6 CT VISp Krt80 Sla (44.0%), L6 CT ALM Cpa6 (22.0%), L6 CT VISp Ctxn3 Sla (20.0%)	1630	62.71	Fede	15	1329.5	493.4	578.7	1597.212		
747	20190411_sample_3	20190411_slice_3	2019-04-11	Sample 3	mouse_IQNOA	2019-01-31	70	6	PV+	1914	low quality					1527	63.03	Fede	30	1198.5	436.8	543.9	1501.164		
748	20190411_sample_5	20190411_slice_5	2019-04-11	Sample 5	mouse_IQNOA	2019-01-31	70	6	PV-	3067	CT	L6 CT Cpa6	0.44	L6 CT Cpa6 (43.9%), L6 CT Pou3f2 (26.0%), L6 CT Grp (17.9%)	L6 CT VISp Ctxn3 Brinp3 (90.0%), L6 CT ALM Cpa6 (8.0%)	1523	96.34	Fede	10	1301.2	477	550.9	1520.484	y	
749	20190411_sample_6	20190411_slice_6	2019-04-11	Sample 6	mouse_IQNOA	2019-01-31	70	6	PV+	3332	Pvalb	Pvalb Calb1_1	0.7	Pvalb Calb1_1 (69.9%), Pvalb Calb1_2 (14.9%), Pvalb Il1rapl2 (4.9%)	Pvalb Calb1 Sst (82.0%), Pvalb Th Sst (7.0%), Pvalb Gpr149 Islr (5.0%)	1683	79.23	Fede	30	1015.9	374.8	491	1355.16	y	
750	20190411_sample_8	20190411_slice_8	2019-04-11	Sample 8	mouse_IQNOA	2019-01-31	70	6	PV-	5403	CT	L6b Col6a1	0.43	L6b Col6a1 (42.7%), L6 CT Cpa6 (30.1%), L6 CT Pou3f2 (18.7%)	L6 CT ALM Cpa6 (59.0%), L6 CT VISp Krt80 Sla (32.0%), L6 CT ALM Nxph2 Sla (9.0%)	1592	292.87	Fede	10	1302.2	487.5	582.6	1607.976	y	
751	20190412_sample_1	20190412_slice_1	2019-04-12	Sample 1	mouse_UVVCP	2019-01-31	71	5	PV+	10671	Pvalb	Pvalb Kank4	0.57	Pvalb Kank4 (57.3%), Pvalb Egfem1 (24.7%), Pvalb Gpr149 (16.6%)	Pvalb Akr1c18 Ntf3 (96.0%)	2268	432.47	Fede	30	1106.2	402.8	655.9	1810.284	y	
752	20190412_sample_3	20190412_slice_3	2019-04-12	Sample 3	mouse_UVVCP	2019-01-31	71	6	PV-	5373	IT	L6 IT_2	0.62	L6 IT_2 (61.9%), L5 IT_4 (18.3%), L6 CT Pou3f2 (8.9%)	L6 IT VISp Penk Col27a1 (100.0%)	1613	156.14	Fede	10	1236.1	461.7	552.6	1525.176	y	
753	20190412_sample_6	20190412_slice_6	2019-04-12	Sample 6	mouse_UVVCP	2019-01-31	71	6	PV-	2143	Pvalb	Pvalb Calb1_2	0.28	Pvalb Calb1_2 (28.0%), Pvalb Calb1_1 (23.7%), Pvalb Gpr149 (17.7%)	Pvalb Akr1c18 Ntf3 (28.0%), Pvalb Gpr149 Islr (23.0%), Pvalb Th Sst (21.0%)	1704	45.11	Fede	15	1288.9	469.6	553.5	1527.66	y	
754	20190415_sample_1	20190415_slice_1	2019-04-15	Sample 1	mouse_WYKLJ	2019-01-31	74	6	PV+	5809	Pvalb	Pvalb Calb1_1	0.42	Pvalb Calb1_1 (42.4%), Pvalb Kank4 (36.9%), Pvalb Calb1_2 (13.4%)	Pvalb Sema3e Kank4 (100.0%)	1663	320.84	Fede	32	873.8	318.5	452	1247.52	y	
755	20190415_sample_3	20190415_slice_3	2019-04-15	Sample 3	mouse_WYKLJ	2019-01-31	74	6	PV-	3700	CT	L6 CT Grp	0.55	L6 CT Grp (55.4%), L6 CT Cpa6 (15.7%), L6 CT Pou3f2 (15.0%)	L6 CT VISp Ctxn3 Brinp3 (50.0%), L6 CT VISp Nxph2 Wls (22.0%), L6 CT ALM Cpa6 (11.0%)	1545	113.13	Fede	15	889.5	331.9	486	1341.36	y	
756	20190415_sample_4	20190415_slice_4	2019-04-15	Sample 4	mouse_WYKLJ	2019-01-31	74	6	PV-	9987	IT	L6 IT_2	0.81	L6 IT_2 (80.7%), L5 IT_1 (12.0%), L5 IT_4 (3.9%)	L6 IT VISp Penk Fst (54.0%), L6 IT ALM Oprk1 (33.0%), L6 IT VISp Penk Col27a1 (11.0%)	1993	431.1	Fede	25	1077.1	403.6	505.9	1396.284	y	
757	20190415_sample_6	20190415_slice_6	2019-04-15	Sample 6	mouse_WYKLJ	2019-01-31	74	6	PV-	6128	CT	L6 CT Cpa6	0.72	L6 CT Cpa6 (72.3%), L6b Col6a1 (18.7%), L6 CT Pou3f2 (4.0%)	L6 CT ALM Cpa6 (99.0%)	1650	217.68	Fede	25	1046.8	384.3	468.8	1293.888	y	
758	20190415_sample_8	20190415_slice_8	2019-04-15	Sample 8	mouse_WYKLJ	2019-01-31	74	6	PV-	8205	Sst	Sst Chodl	1	Sst Chodl (100.0%)	Sst Chodl (100.0%)	1528	420.71	Fede	20	1231.2	458.1	558.4	1541.184		
759	20190415_sample_10	20190415_slice_10	2019-04-15	Sample 10	mouse_WYKLJ	2019-01-31	74	6	PV-	12074	IT	L6 IT_2	0.81	L6 IT_2 (81.3%), L6 IT_1 (18.6%)	L6 IT VISp Penk Col27a1 (85.0%), L6 IT ALM Oprk1 (13.0%)	1600	1003.15	Fede	15	1175.5	429.7	490.5	1353.78	y	
760	20190416_sample_3	20190416_slice_3	2019-04-16	Sample 3	mouse_PHFLX	2019-01-01	105	6	PV-	6515	CT	L6 CT Cpa6	0.91	L6 CT Cpa6 (91.1%), L6 CT Pou3f2 (4.9%)	L6 CT ALM Cpa6 (60.0%), L6 CT VISp Krt80 Sla (29.0%), L6 CT ALM Nxph2 Sla (6.0%)	2146	213.99	Fede	9	956.5	346.1	432.4	1193.424		
761	20190416_sample_4	20190416_slice_4	2019-04-16	Sample 4	mouse_PHFLX	2019-01-01	105	6	PV+	9738	Pvalb	Pvalb Kank4	0.85	Pvalb Kank4 (85.1%), Pvalb Reln (11.3%)	Pvalb Sema3e Kank4 (94.0%), Pvalb Reln Itm2a (6.0%)	2033	494.49	Fede	20	1143	431.9	481.8	1329.768		
762	20190416_sample_5	20190416_slice_5	2019-04-16	Sample 5	mouse_PHFLX	2019-01-01	105	6	PV-	2205	Sst	Sst Th_3	0.35	Sst Th_3 (35.4%), Sst C1ql3_1 (12.3%), Sst Th_2 (10.3%)	Pvalb Th Sst (29.0%), Sst Rxfp1 Prdm8 (28.0%), Sst Nts (25.0%)	1557	100.7	Fede	40	1125.8	414.6	466.1	1286.436	y	
763	20190416_sample_6	20190416_slice_6	2019-04-16	Sample 6	mouse_PHFLX	2019-01-01	105	6	PV-	3774	IT	L6 IT_2	0.69	L6 IT_2 (69.4%), L5 IT_4 (4.7%), L6 IT Car3 (3.9%)	L6 IT VISp Penk Col27a1 (51.0%), L6 IT VISp Penk Fst (44.0%)	1839	90.25	Fede	12	1122.9	412.8	455.6	1257.456		
764	20190416_sample_7	20190416_slice_7	2019-04-16	Sample 7	mouse_PHFLX	2019-01-01	105	6	PV-	8831	Sncg	Sncg Calb1_2	0.6	Sncg Calb1_2 (59.9%), Sncg Npy2r (22.9%), Sncg Calb1_1 (17.0%)	Sncg Gpr50 (100.0%)	2133	374.22	Fede	10	1142.1	429.6	450.8	1244.208	y	
765	20190416_sample_8	20190416_slice_8	2019-04-16	Sample 8	mouse_PHFLX	2019-01-01	105	6	PV+	5479	Pvalb	Pvalb Kank4	0.48	Pvalb Kank4 (47.9%), Pvalb Calb1_2 (26.3%), Pvalb Calb1_1 (12.0%)	Pvalb Akr1c18 Ntf3 (54.0%), Pvalb Sema3e Kank4 (46.0%)	1551	169.42	Fede	45	1068	385.9	464.8	1282.848	y	
766	20190416_sample_9	20190416_slice_9	2019-04-16	Sample 9	mouse_PHFLX	2019-01-01	105	6	PV-	7281	IT	L6 IT_2	0.97	L6 IT_2 (97.4%)	L6 IT VISp Penk Col27a1 (86.0%), L6 IT VISp Penk Fst (14.0%)	2071	226.32	Fede	12	1177.7	430.4	473.6	1307.136	y	
767	20190416_sample_10	20190416_slice_10	2019-04-16	Sample 10	mouse_PHFLX	2019-01-01	105	6	PV-	2848	CT	L6 CT Cpa6	0.48	L6 CT Cpa6 (48.0%), L6b Col6a1 (25.9%), L6 CT Kit_1 (10.9%)	L6 CT ALM Cpa6 (48.0%), L6 CT VISp Krt80 Sla (32.0%), L6 CT VISp Nxph2 Wls (18.0%)	1566	68.22	Fede	15	1153.9	424.6	471.8	1302.168	y	
768	20190417_sample_2	20190417_slice_2	2019-04-17	Sample 2	mouse_UHZDZ	2019-02-06	70	6	SST-	5105	CT	L6b Col6a1	0.76	L6b Col6a1 (75.6%), L6 CT Cpa6 (20.4%)	L6 CT VISp Krt80 Sla (88.0%), L6 CT ALM Cpa6 (11.0%)	1860	138.98	Fede	54	1245.4	455.7	471.6	1301.616		
769	20190417_sample_3	20190417_slice_3	2019-04-17	Sample 3	mouse_UHZDZ	2019-02-06	70	6	SST-	3345	CT	L6b Kcnip1	0.83	L6b Kcnip1 (83.4%), L6 CT Pou3f2 (5.7%), L6b Ror1 (2.4%)	L6b Hsd17b2 (90.0%), L6b ALM Olfr111 Nxph1 (5.0%)	1530	67.61	Fede	15	746.8	274.5	450.6	1243.656	y	
770	20190417_sample_4	20190417_slice_2	2019-04-17	Sample 4	mouse_UHZDZ	2019-02-06	70	5	SST+	8944	Sst	Sst Myh8_3	0.76	Sst Myh8_3 (76.0%), Sst Htr1a (18.4%), Sst Hpse (2.7%)	Sst Tac2 Myh4 (85.0%), Sst Hpse Cbln4 (12.0%)	1855	35.18	Fede	46	611.5	220.6	471.6	1301.616		
771	20190417_sample_5	20190417_slice_5	2019-04-17	Sample 5	mouse_UHZDZ	2019-02-06	70	6	SST+	8227	Sst	Sst C1ql3_2	0.78	Sst C1ql3_2 (77.7%), Sst Crhr2_1 (11.4%), Sst C1ql3_1 (3.7%)	Sst Rxfp1 Eya1 (98.0%)	2371	311.38	Fede	60	972.6	356.1	511.9	1412.844		
772	20190417_sample_9	20190417_slice_6	2019-04-17	Sample 9	mouse_UHZDZ	2019-02-06	70	6	SST-	3103	CT	L6 CT Cpa6	0.67	L6 CT Cpa6 (67.4%), L6 CT Grp (15.6%), L6 CT Pou3f2 (6.3%)	L6 CT ALM Cpa6 (83.0%), L6 CT VISp Gpr139 (8.0%), L6 CT VISp Ctxn3 Brinp3 (4.0%)	1772	48.53	Fede	39	1168	425.7	520.9	1437.684	y	
773	20190417_sample_10	20190417_slice_6	2019-04-17	Sample 10	mouse_UHZDZ	2019-02-06	70	5	SST+	7661	Sst	Sst Crhr2_2	0.97	Sst Crhr2_2 (96.6%)	Sst Esm1 (100.0%)	2008	253.19	Fede	29	957.5	345.5	520.9	1437.684		
774	20190418_sample_2	20190418_slice_2	2019-04-18	Sample 2	mouse_HZREI	2019-02-06	71	6	SST+	1202	low quality					1673	40.37	Fede	39	1031.3	378.6	559.4	1543.944		
775	20190418_sample_4	20190418_slice_4	2019-04-18	Sample 4	mouse_HZREI	2019-02-06	71	6	SST-	5181	CT	L6 CT Cpa6	0.76	L6 CT Cpa6 (76.4%), L6 CT Grp (17.1%), L6 CT Pou3f2 (3.7%)	L6 CT VISp Ctxn3 Brinp3 (76.0%), L6 CT ALM Cpa6 (23.0%)	1749	94.89	Fede	10	1110.8	402.9	491	1355.16	y	
776	20190418_sample_5	20190418_slice_5	2019-04-18	Sample 5	mouse_HZREI	2019-02-06	71	6	SST-	8686	IT	L6 IT_1	0.99	L6 IT_1 (98.9%)	L6 IT VISp Penk Fst (100.0%)	2255	271.1	Fede	10	1132.5	406.6	542.4	1497.024	y	
777	20190418_sample_7	20190418_slice_7	2019-04-18	Sample 7	mouse_HZREI	2019-02-06	71	6	SST-	10492	CT	L6 CT Cpa6	0.85	L6 CT Cpa6 (85.0%), L6 CT Grp (6.3%), L6 CT Pou3f2 (6.1%)	L6 CT ALM Cpa6 (100.0%)	2039	441.26	Fede	10	1323.6	493.2	587.9	1622.604	y	
778	20190418_sample_8	20190418_slice_8	2019-04-18	Sample 8	mouse_HZREI	2019-02-06	71	6	SST+	2941	Pvalb	Pvalb Calb1_1	0.52	Pvalb Calb1_1 (51.7%), Pvalb Kank4 (14.6%), Pvalb Calb1_2 (13.1%)	Pvalb Akr1c18 Ntf3 (53.0%), Pvalb Gpr149 Islr (33.0%), Pvalb Sema3e Kank4 (11.0%)	1506	48.47	Fede	45	1205.5	435.7	513.4	1416.984	y	
779	20190418_sample_9	20190418_slice_9	2019-04-18	Sample 9	mouse_HZREI	2019-02-06	71	6	SST-	4825	CT	L6b Shisa6_1	0.63	L6b Shisa6_1 (63.3%), L6b Ror1 (30.6%), L6b Col6a1 (5.3%)	L6b ALM Olfr111 Nxph1 (50.0%), L6b ALM Olfr111 Spon1 (39.0%), L6b VISp Col8a1 Rprm (5.0%)	1563	112.8	Fede	10	1520.5	562.5	609.7	1682.772	y	
780	20190418_sample_10	20190418_slice_10	2019-04-18	Sample 10	mouse_HZREI	2019-02-06	71	6	SST-	2688	CT	L6 CT Cpa6	0.52	L6 CT Cpa6 (52.0%), L6b Col6a1 (20.4%), L6b Shisa6_1 (5.7%)	L6 CT ALM Cpa6 (60.0%), L6 CT VISp Krt80 Sla (24.0%), L6 CT VISp Gpr139 (6.0%)	1565	75.6	Fede	25	1383.3	506.1	564.9	1559.124		
781	20190422_sample_1	20190422_slice_1	2019-04-22	Sample 1	mouse_DVQIA	2019-02-06	75	6	PV+	9393	Pvalb	Pvalb Kank4	0.88	Pvalb Kank4 (88.1%), Pvalb Calb1_2 (9.6%)	Pvalb Sema3e Kank4 (100.0%)	2311	467.37	Fede	30	1030.1	378	490.8	1354.608	y	
782	20190422_sample_4	20190422_slice_4	2019-04-22	Sample 4	mouse_DVQIA	2019-02-06	75	6	PV+	2774	Pvalb	Pvalb Gpr149	0.28	Pvalb Gpr149 (27.9%), Pvalb Reln (18.3%), Pvalb Calb1_2 (16.1%)	Pvalb Reln Tac1 (43.0%), Pvalb Gpr149 Islr (34.0%), Sst Tac1 Tacr3 (7.0%)	1582	47.33	Fede	35	761	286.7	425	1173	y	
783	20190422_sample_5	20190422_slice_5	2019-04-22	Sample 5	mouse_DVQIA	2019-02-06	75	6	PV-	7621	Pvalb	Pvalb Egfem1	0.95	Pvalb Egfem1 (95.3%)	Pvalb Th Sst (98.0%)	2133	333.31	Fede	32	1192.3	432.2	526.8	1453.968		
784	20190422_sample_6	20190422_slice_6	2019-04-22	Sample 6	mouse_DVQIA	2019-02-06	75	6	PV-	6986	CT	L6 CT Cpa6	0.82	L6 CT Cpa6 (81.9%), L6 CT Pou3f2 (8.9%), L6b Col6a1 (6.6%)	L6 CT ALM Cpa6 (99.0%)	1917	148.88	Fede	15	1288.4	459.7	553	1526.28	y	
785	20190422_sample_7	20190422_slice_7	2019-04-22	Sample 7	mouse_DVQIA	2019-02-06	75	6	PV-	4684	IT	L6 IT_2	0.89	L6 IT_2 (89.3%), L6 IT_1 (6.1%)	L6 IT VISp Col23a1 Adamts2 (81.0%), L6 IT VISp Penk Col27a1 (11.0%), L2/3 IT VISp Adamts2 (6.0%)	1835	73.75	Fede	10	1174.8	429.2	576	1589.76	y	
786	20190422_sample_8	20190422_slice_8	2019-04-22	Sample 8	mouse_DVQIA	2019-02-06	75	6	PV+	9308	Pvalb	Pvalb Gabrg1	1	Pvalb Gabrg1 (100.0%)	Pvalb Gabrg1 (100.0%)	1801	590	Fede	15	1353.6	478.2	541.3	1493.988		
787	20190422_sample_10	20190422_slice_10	2019-04-22	Sample 10	mouse_DVQIA	2019-02-06	75	6	PV-	8126	CT	L6 CT Cpa6	0.9	L6 CT Cpa6 (89.6%), L6 CT Pou3f2 (4.6%), L6b Col6a1 (4.4%)	L6 CT ALM Cpa6 (91.0%), L6 CT VISp Ctxn3 Brinp3 (5.0%)	1978	228.12	Fede	10	1513	550.8	601	1658.76	y	
788	20190423_sample_1	20190423_slice_1	2019-04-23	Sample 1	mouse_UTMPM	2019-02-06	76	6	PV-	7838	IT	L6 IT_1	0.68	L6 IT_1 (68.1%), L6 IT_2 (20.9%), L5 IT_4 (10.0%)	L6 IT VISp Penk Fst (99.0%)	2057	266.57	Fede	15	1234	432.7	554	1529.04	y	
789	20190423_sample_3	20190423_slice_3	2019-04-23	Sample 3	mouse_UTMPM	2019-02-06	76	6	PV-	2967	CT	L6 CT Cpa6	0.7	L6 CT Cpa6 (70.3%), L6 CT Pou3f2 (11.6%), L6 CT Grp (11.0%)	L6 CT ALM Cpa6 (76.0%), L6 CT VISp Nxph2 Wls (13.0%), L6 CT VISp Krt80 Sla (7.0%)	1602	39.47	Fede	10	1150.6	423.8	491.1	1355.436	y	
790	20190423_sample_5	20190423_slice_5	2019-04-23	Sample 5	mouse_UTMPM	2019-02-06	76	6	PV-	7775	CT	L6b Ror1	0.81	L6b Ror1 (80.9%), L6b Kcnip1 (12.0%), L6b Shisa6_1 (6.9%)	L6b P2ry12 (88.0%), L6b ALM Olfr111 Nxph1 (11.0%)	2112	201.84	Fede	10	1286.6	465.1	516.3	1424.988	y	
791	20190423_sample_7	20190423_slice_7	2019-04-23	Sample 7	mouse_UTMPM	2019-02-06	76	6	PV-	7159	CT	L6 CT Cpa6	0.53	L6 CT Cpa6 (52.6%), L6 CT Pou3f2 (36.4%), L6b Col6a1 (10.0%)	L6 CT ALM Cpa6 (51.0%), L6 CT ALM Nxph2 Sla (34.0%), L6 CT VISp Krt80 Sla (12.0%)	1754	215.16	Fede	12	1466.6	528.5	581.4	1604.664		
792	20190423_sample_8	20190423_slice_6	2019-04-23	Sample 8	mouse_UTMPM	2019-02-06	76	6	PV+	6424	Pvalb	Pvalb Il1rapl2	0.62	Pvalb Il1rapl2 (62.4%), Pvalb Calb1_2 (26.6%), Pvalb Calb1_1 (5.6%)	Pvalb Tpbg (75.0%), Pvalb Reln Tac1 (16.0%), Pvalb Sema3e Kank4 (5.0%)	1864	146.79	Fede	35	1402.4	512	552.8	1525.728	y	
793	20190423_sample_10	20190423_slice_8	2019-04-23	Sample 10	mouse_UTMPM	2019-02-06	76	6	PV+	7513	Pvalb	Pvalb Calb1_1	0.7	Pvalb Calb1_1 (69.6%), Pvalb Kank4 (26.9%)	Pvalb Sema3e Kank4 (99.0%)	1683	280.4	Fede	40	1285.3	467.1	563.5	1555.26	y	
794	20190424_sample_1	20190424_slice_1	2019-04-24	Sample 1	mouse_NCFRS	2019-02-19	64	6	PV-	8341	CT	L6 CT Cpa6	0.76	L6 CT Cpa6 (76.1%), L6b Col6a1 (23.4%)	L6 CT ALM Cpa6 (80.0%), L6 CT VISp Krt80 Sla (13.0%), L6 CT ALM Nxph2 Sla (7.0%)	1624	759.99	Fede	35	1279.4	470.3	554.8	1531.248	y	
795	20190424_sample_2	20190424_slice_2	2019-04-24	Sample 2	mouse_NCFRS	2019-02-19	64	6	PV+	4664	Pvalb	Pvalb Calb1_2	0.49	Pvalb Calb1_2 (49.1%), Pvalb Calb1_1 (32.0%), Pvalb Kank4 (9.9%)	Pvalb Sema3e Kank4 (60.0%), Pvalb Calb1 Sst (27.0%), Pvalb Akr1c18 Ntf3 (8.0%)	1520	148.9	Fede	10	1126.9	410.8	500.4	1381.104	y	
796	20190424_sample_3	20190424_slice_3	2019-04-24	Sample 3	mouse_NCFRS	2019-02-19	64	6	PV-	9002	CT	L6 CT Cpa6	0.9	L6 CT Cpa6 (90.3%), L6 CT Pou3f2 (4.1%), L6b Col6a1 (3.3%)	L6 CT ALM Cpa6 (99.0%)	1596	591.73	Fede	10	1169.4	423.3	483.7	1335.012	y	
797	20190424_sample_4	20190424_slice_4	2019-04-24	Sample 4	mouse_NCFRS	2019-02-19	64	6	PV-	10020	CT	L6 CT Pou3f2	0.98	L6 CT Pou3f2 (97.7%)	L6 CT ALM Nxph2 Sla (100.0%)	1747	727.11	Fede	10	1375.5	485.5	602.5	1662.9	y	
798	20190424_sample_5	20190424_slice_5	2019-04-24	Sample 5	mouse_NCFRS	2019-02-19	64	6	PV-	7502	CT	L6 CT Pou3f2	0.49	L6 CT Pou3f2 (49.4%), L6 CT Cpa6 (22.4%), L6b Col6a1 (13.9%)	L6 CT ALM Nxph2 Sla (77.0%), L6 CT ALM Cpa6 (21.0%)	1566	276.49	Fede	10	1337.2	478.8	618.9	1708.164	y	
799	20190424_sample_6	20190424_slice_6	2019-04-24	Sample 6	mouse_NCFRS	2019-02-19	64	6	PV-	5340	IT	L6 IT_2	0.77	L6 IT_2 (76.7%), L5 IT_4 (8.3%), L6 IT_1 (6.0%)	L6 IT VISp Penk Fst (84.0%), L6 IT VISp Penk Col27a1 (13.0%)	1514	171.02	Fede	10	1420	522	556	1534.56	y	
800	20190424_sample_7	20190424_slice_7	2019-04-24	Sample 7	mouse_NCFRS	2019-02-19	64	1	PV-	7478	Lamp5	Lamp5 Pdlim5_1	0.84	Lamp5 Pdlim5_1 (84.4%), Lamp5 Egln3_3 (11.1%)	Lamp5 Ntn1 Npy2r (99.0%)	1620	346.28	Fede	25	75	30.6	502.1	1385.796	y	
801	20190425_sample_1	20190425_slice_1	2019-04-25	Sample 1	mouse_EOYBJ	2018-12-24	122	6	PV-	11141	IT	L6 IT_2	0.86	L6 IT_2 (85.7%), L6 IT_1 (14.1%)	L6 IT VISp Penk Col27a1 (97.0%)	2185	591.36	Fede	10	1129.8	405.3	481	1327.56	y	
802	20190425_sample_4	20190425_slice_4	2019-04-25	Sample 4	mouse_EOYBJ	2018-12-24	122	6	PV-	11702	Lamp5	Lamp5 Slc35d3	0.99	Lamp5 Slc35d3 (98.9%)	Lamp5 Lsp1 (100.0%)	2088	908.12	Fede	10	1167.2	427	538.5	1486.26		
803	20190425_sample_6	20190425_slice_6	2019-04-25	Sample 6	mouse_EOYBJ	2018-12-24	122	6	PV-	9437	Sst	Sst Pvalb Etv1	0.51	Sst Pvalb Etv1 (50.7%), Sst Calb2 (16.0%), Sst Crhr2_1 (14.7%)	Sst Calb2 Pdlim5 (68.0%), Sst Nr2f2 Necab1 (21.0%), Sst Esm1 (7.0%)	2012	470.32	Fede	10	1324.5	480.7	569.3	1571.268	y	
804	20190425_sample_7	20190425_slice_7	2019-04-25	Sample 7	mouse_EOYBJ	2018-12-24	122	6	PV-	7583	IT	L6 IT_2	0.83	L6 IT_2 (82.6%), L6 IT_1 (8.6%), L5 IT_4 (8.3%)	L6 IT VISp Penk Col27a1 (94.0%), L6 IT VISp Penk Fst (6.0%)	1871	328.2	Fede	10	1255.2	462.7	562.6	1552.776	y	
805	20190425_sample_8	20190425_slice_8	2019-04-25	Sample 8	mouse_EOYBJ	2018-12-24	122	6	PV-	9249	CT	L6 CT Cpa6	0.37	L6 CT Cpa6 (37.0%), L6 CT Gpr139 (36.0%), L6 CT Pou3f2 (26.7%)	L6 CT VISp Gpr139 (55.0%), L6 CT VISp Ctxn3 Brinp3 (21.0%), L6 CT ALM Nxph2 Sla (14.0%)	2027	385.35	Fede	10	1244.9	461.7	549.4	1516.344	y	
806	20190425_sample_9	20190425_slice_9	2019-04-25	Sample 9	mouse_XRMEW	2019-02-19	65	6	PV-	6823	CT	L6 CT Cpa6	0.77	L6 CT Cpa6 (77.1%), L6b Col6a1 (20.0%)	L6 CT ALM Cpa6 (79.0%), L6 CT VISp Krt80 Sla (14.0%), L6 CT ALM Nxph2 Sla (6.0%)	1551	366.29	Fede	10	1344.5	487.7	511.3	1411.188	y	
807	20190425_sample_12	20190425_slice_12	2019-04-25	Sample 12	mouse_XRMEW	2019-02-19	65	6	PV-	2749	CT	L6 CT Cpa6	0.46	L6 CT Cpa6 (46.4%), L6 CT Pou3f2 (40.9%), L6b Col6a1 (9.4%)	L6 CT ALM Cpa6 (69.0%), L6 CT VISp Krt80 Sla (17.0%), L6 CT ALM Nxph2 Sla (9.0%)	1660	86.43	Fede	10	1389.6	516	528.2	1457.832		
808	20190425_sample_13	20190425_slice_13	2019-04-25	Sample 13	mouse_XRMEW	2019-02-19	65	6	PV-	7290	CT	L6 CT Cpa6	0.58	L6 CT Cpa6 (57.7%), L6b Col6a1 (23.3%), L6 CT Pou3f2 (13.3%)	L6 CT ALM Cpa6 (96.0%)	1802	362.79	Fede	10	1364.4	497.5	572.6	1580.376		
